date,timestamp,open,high,low,close,volume
2016-08-09,1470700800000,591.58,594.04,585.38,586.45,4817.62624738
2016-08-10,1470787200000,586.75,601.09,583.29,594.94,9439.72597721
2016-08-11,1470873600000,594.94,599.99,585.6,587.91,5062.58283783
2016-08-12,1470960000000,587.9,590.09,583.62,587.74,3870.89068755
2016-08-13,1471046400000,587.68,589.5,586.0,586.45,2839.70446781
2016-08-14,1471132800000,586.45,586.49,565.19,574.99,4154.4769823
2016-08-15,1471219200000,574.97,574.97,561.56,567.79,4403.16173516
2016-08-16,1471305600000,567.85,581.99,566.09,579.02,4692.46182455
2016-08-17,1471392000000,579.02,581.99,569.67,574.45,4509.7743737
2016-08-18,1471478400000,574.45,576.99,573.0,574.09,3964.9989895
2016-08-19,1471564800000,574.05,576.99,572.68,573.67,4038.30300064
2016-08-20,1471651200000,573.68,583.92,572.38,581.87,3581.22425349
2016-08-21,1471737600000,581.72,583.99,579.34,581.29,2442.63374814
2016-08-22,1471824000000,581.34,586.99,579.22,585.2,4493.44110907
2016-08-23,1471910400000,585.19,586.77,577.47,582.39,5092.27462505
2016-08-24,1471996800000,582.39,582.68,575.29,578.47,3857.02318764
